Lat,Lon,isChain,RestaurantName,Cuisine
45.55116,-122.66193,0,Safari Restaurant,Restaurant
45.52685,-122.69475,0,Sansai Japanese Grill,Japanese Sushi Asian
45.51594,-122.67973,0,Seattles Best Coffee,Cafe
45.52487,-122.6827,0,Shiraz Mediterranean Grill,Greek
45.5593,-122.64893,0,Sky Kitchen,Restaurant
45.46247,-122.65312,0,Something Different,Restaurant
45.52355,-122.68043,0,Splash Bar,Restaurant
45.50929,-122.68091,0,Sunnys Deli,Restaurant
45.52022,-122.677666,0,Sushi Sakura,Japanese Sushi Asian
45.522163,-122.67801,0,The Independent,American Bar Pub
45.50502,-122.62303,0,Toms Restaurant,Diner
45.52003,-122.67451,0,Turkish Cuisine,Turkish
45.50857,-122.654945,0,Willow,American
45.4892,-122.59513,0,5 and Dime,Bar Pub
45.52109,-122.68041,0,808 Grinds,Polynesian Hawaiian
45.552532,-122.68077,0,Alibi Restaurant and Lounge,Bar Polynesian Hawaiian American
45.52693,-122.67974,0,Allora,Italian
45.52617,-122.61559,0,American Dream Pizza,Pizza
45.52408,-122.67172,0,Aprisa Mexican Cuisine,Restaurant
45.50628,-122.65814,0,Aprisa Mexican Cuisine,Mexican
45.51699,-122.67544,0,Aprisa Mexican Cuisine,Mexican
45.56247,-122.68717,0,Atomic Pizza,Pizza
45.5515,-122.66642,0,Back Porch Cafe,Restaurant
45.54083,-122.6081,0,Bakeshop,Restaurant
45.54052,-122.38809,0,Bandits,American Bar Pub
45.51686,-122.67659,0,Bangkok Palace,Asian Thai
45.53257,-122.66114,0,BLVD Kitchen and Bar,American Bar Pub
45.55687,-122.6612,0,Bus Stop Cafe,Restaurant
45.50578,-122.41803,0,Busters TexasStyle Barbecue,American Barbecue
45.51874,-122.49541,0,Carrows,American
45.504875,-122.63395,0,Casa Italia,Italian
45.59736,-122.66913,0,Cascade Grill,American Bar
45.519234,-122.682365,0,Case Study Coffee,Cafe
45.55894,-122.65113,0,Case Study Coffee,Restaurant
45.53536,-122.7007,0,Cha Cha Cha Taqueria,Restaurant
45.57324,-122.55843,0,Cha Cha Cha Taqueria,Restaurant
45.51791,-122.66351,0,Cheesesteak Factory,Steakhouse
45.50448,-122.54748,0,Cheryls Place,American
45.516502,-122.68593,0,Coava,Cafe
45.513515,-122.660576,0,Coava,Cafe
45.512115,-122.63875,0,Coava,Cafe
45.5398,-122.60921,0,Coriander,Middle Eastern
45.51182,-122.62733,0,Cup and Saucer Cafe,American Cafe Diner
45.56263,-122.634605,0,Cup and Saucer Cafe,American Cafe
45.51801,-122.53815,0,Don Pedro Restaurant,Mexican
45.50353,-122.63998,0,Dots Cafe,American Bar
45.52056,-122.6735,0,El Don de Los Tacos,Restaurant
45.53287,-122.6936,0,El Don de Los Tacos,Restaurant
45.55574,-122.56982,0,Escape,International
45.51182,-122.62977,0,Farmhouse Kitchen Thai Cuisine,Asian Thai
45.474674,-122.648834,0,Fat Alberts,American
45.51061,-122.5373,0,Gold Garden,Restaurant
45.51155,-122.68326,0,Growler USA,American Brew Pub Pub Gastropub
45.52007,-122.68245,0,Habibi Restaurant,Lebanese Mediterranean Middle Eastern
45.4793,-122.60897,0,Heart Coffee,Restaurant
45.52144,-122.68364,0,Heart Coffee,Cafe
45.523037,-122.64326,0,Heart Coffee,Cafe
45.5271,-122.64685,0,Henry Higgins Boiled Bagels,Restaurant
45.48914,-122.59622,0,Henry Higgins Boiled Bagels,American
45.46454,-122.65235,0,Henry Higgins Boiled Bagels,Restaurant
45.48531,-122.647095,0,Holy Cluck,Restaurant
45.52339,-122.68948,0,Hookah Cafe,Restaurant
45.5198,-122.5277,0,Joes Hamburgers,American
45.51401,-122.65838,0,Kokiyo Teriyaki,Restaurant
45.53392,-122.60129,0,La Arepa,Venezuelan Latin Spanish South American
45.48594,-122.58835,0,La Arepa,Restaurant
45.5223,-122.6784,0,La Bella Napoli,Italian
45.56261,-122.69487,0,La Bonita,Mexican Latin Spanish
45.55919,-122.63606,0,La Bonita,Mexican Spanish
45.5227,-122.67101,0,La Casa Del Sol,Restaurant
45.50425,-122.43034,0,La Herradura Mexican,Mexican Latin Spanish
45.5247,-122.53702,0,La Isla Bonita,Mexican Latin Spanish
45.50128,-122.65823,0,Local Grind,Restaurant
45.55903,-122.62071,0,Los Pepitos Locos,Restaurant
45.57734,-122.69525,0,Los Pepitos Locos,Restaurant
45.55901,-122.62062,0,Los Pepitos Locos,Restaurant
45.50497,-122.47707,0,Lucky 7,Chinese American
45.50236,-122.57908,0,Mariscos Las Islas Marias,Mexican
45.53287,-122.6936,0,Medley Market,Restaurant
45.52056,-122.6735,0,Medley Market,Restaurant
45.5042,-122.48312,0,Mi Pueblo Restaurant,Mexican
45.51374,-122.6772,0,Mizu Sushi Bar,Sushi
45.51181,-122.62605,0,Moberi,Cafe
45.55409,-122.67532,0,Moberi,Restaurant
45.53514,-122.69881,0,Moberi,Restaurant
45.58823,-122.76099,0,Moonstruck Chocolate Shop,Cafe
45.51986,-122.67871,0,Moonstruck Chocolate Shop,Restaurant
45.534473,-122.65132,0,Namaste Indian Cuisine,Indian
45.553135,-122.57742,0,Namaste Indian Cuisine,Indian
45.533546,-122.608986,0,New Deal Cafe,American Cafe
45.5485,-122.6155,0,Nohos Hawaiian Cafe,Polynesian Hawaiian
45.50353,-122.639786,0,Nohos Hawaiian Cafe,Polynesian Hawaiian American
45.52236,-122.65556,0,Normandie,American Seafood
45.504967,-122.64381,0,Nuestra Cocina,Mexican Latin
45.520023,-122.64219,0,Pad Thai Kitchen,Asian Thai
45.51421,-122.68466,0,Park Avenue Cafe,American Cafe French Mediterranean
45.58399,-122.689095,0,Parkside Pub,Bar Pub
45.497738,-122.61415,0,Pho Hung,Asian Vietnamese Soups
45.509304,-122.57928,0,Pho Van Restaurant,Asian Vietnamese Soups
45.52859,-122.68316,0,Piazza Italia,Italian Asian
45.52596,-122.53882,0,Pig N Pancake,American Cafe
45.51229,-122.63239,0,Pinto Thai Kitchen,Thai
45.58938,-122.75606,0,Pizza Nostra,Pizza
45.48984,-122.67186,0,Rivers Restaurant,Restaurant
45.51403,-122.36172,0,Riverview,Restaurant
45.56294,-122.65907,0,Rollin Fresh,Restaurant
45.53617,-122.70014,0,Rollin Fresh,Restaurant
45.46739,-122.6533,0,Rollin Fresh,Restaurant
45.51734,-122.50037,0,Sawasdee Thai,Asian Thai
